# Time-averaged data for fix 2
# TimeStep v_time c_thermo_temp c_thermo_press v_sysvol v_sysdensity v_cella v_cellb v_cellc v_etotal v_pe v_ke v_evdwl v_coulomb v_sxx v_syy v_szz v_syz v_sxz v_sxy v_xhi v_yhi v_zhi v_xlo v_ylo v_zlo
33000 32501 305.711 -5.2405 256967 0.0414102 21.9896 21.9896 531.427 2115.23 1296 819.228 425.742 0 4.9778 2.79705 7.94666 -2.37098 -1.43344 -0.0200722 21.9896 21.9896 1365.19 0 0 833.766
34000 33501 303.483 -6.10831 245812 0.0432894 21.9896 21.9896 508.358 2088.59 1275.33 813.259 416.084 0 4.63921 5.56693 8.11879 -1.16365 3.67297 -1.47524 21.9896 21.9896 1353.66 0 0 845.301
35000 34501 303.547 -4.01258 235142 0.0452539 21.9896 21.9896 486.29 2081.17 1267.74 813.43 411.952 0 4.23598 2.45178 5.34999 3.00628 -0.0806067 1.97676 21.9896 21.9896 1342.62 0 0 856.335
36000 35501 302.827 -5.60361 224934 0.0473075 21.9896 21.9896 465.18 2063.03 1251.53 811.501 401.889 0 6.52298 3.72807 6.55979 -4.04947 -0.69576 -3.04103 21.9896 21.9896 1332.07 0 0 866.89
37000 36501 304.581 -8.93435 215170 0.0494543 21.9896 21.9896 444.986 2076.9 1260.7 816.201 403.247 0 3.33257 11.2249 12.2456 -3.42011 -1.88862 2.29342 21.9896 21.9896 1321.97 0 0 876.986
38000 37501 306.489 -4.63947 205829 0.0516986 21.9896 21.9896 425.67 2065.58 1244.26 821.314 385.853 0 8.11788 2.34792 3.45261 3.62697 -0.593348 2.91847 21.9896 21.9896 1312.31 0 0 886.645
39000 38501 302.512 -4.43574 196894 0.0540446 21.9896 21.9896 407.191 2040.95 1230.3 810.655 379.012 0 0.435416 5.15172 7.72009 -0.491173 -2.67995 -2.23389 21.9896 21.9896 1303.08 0 0 895.884
40000 39501 303.311 -10.4779 188347 0.0564972 21.9896 21.9896 389.515 2028.81 1216.01 812.797 370.723 0 10.948 8.75629 11.7295 0.958548 2.53153 0.412852 21.9896 21.9896 1294.24 0 0 904.722
41000 40501 304.4 -5.82685 180171 0.059061 21.9896 21.9896 372.606 2027.75 1212.04 815.715 361.284 0 4.13385 5.89177 7.45493 4.17568 4.59768 -0.899986 21.9896 21.9896 1285.78 0 0 913.177
42000 41501 303.251 -5.432 172350 0.0617412 21.9896 21.9896 356.431 2018.93 1206.29 812.637 358.001 0 -0.639664 2.78221 14.1535 -4.3709 -3.28464 1.36365 21.9896 21.9896 1277.7 0 0 921.264
43000 42501 303.07 -8.48944 164868 0.064543 21.9896 21.9896 340.959 2010.73 1198.58 812.152 351.493 0 7.92299 10.2153 7.33003 0.213733 1.52958 -1.73401 21.9896 21.9896 1269.96 0 0 929
44000 43501 301.778 -8.09654 157711 0.067472 21.9896 21.9896 326.158 1990.83 1182.14 808.689 341.79 0 15.7824 6.23107 2.2762 2.88635 -1.17165 4.60754 21.9896 21.9896 1262.56 0 0 936.401
45000 44501 304.049 -5.49251 150865 0.0705339 21.9896 21.9896 311.999 1995.52 1180.74 814.774 340.282 0 0.00672331 7.84657 8.62424 3.14019 1.82389 -3.12399 21.9896 21.9896 1255.48 0 0 943.48
46000 45501 302.035 -10.8473 144316 0.0737347 21.9896 21.9896 298.455 1992.3 1182.92 809.378 342.434 0 14.3934 3.00705 15.1416 -1.83004 -6.12989 -1.26836 21.9896 21.9896 1248.71 0 0 950.252
47000 46501 307.59 -8.71503 138051 0.0770808 21.9896 21.9896 285.499 2005.91 1181.65 824.263 331.089 0 6.46477 9.58937 10.0909 -2.75199 4.45735 9.44071 21.9896 21.9896 1242.23 0 0 956.73
